
 num     #instances         #bytes  class name
 242:           121           2920  [Lcom.opensymphony.xwork2.inject.ContainerImpl$ParameterInjector;
 243:            52           2912  org.hibernate.tuple.entity.DynamicMapEntityTuplizer
 244:            52           2912  org.hibernate.tuple.entity.Dom4jEntityTuplizer
 245:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 246:            72           2880  org.apache.tomcat.util.digester.CallParamRule
 247:           120           2880  java.util.ArrayDeque
 248:            52           2864  [Lorg.hibernate.FetchMode;
 249:           118           2832  java.security.Provider$ServiceKey
 250:           118           2832  com.opensymphony.xwork2.inject.ContainerImpl$MethodInjector
 251:            52           2776  [Lorg.hibernate.tuple.StandardProperty;
 252:            23           2760  org.hibernate.hql.ast.tree.FromElement
 253:            43           2752  java.text.DecimalFormatSymbols
 254:            47           2752  [Lcom.sun.org.apache.xerces.internal.util.SymbolHash$Entry;
 255:            57           2736  freemarker.core.BuiltIn$htmlBI
 256:            34           2720  java.util.jar.JarFile$JarFileEntry
 257:           112           2688  org.hibernate.type.SetType
 258:            67           2680  freemarker.core.ExistsExpression
 259:            67           2680  javax.management.ObjectName
 260:           111           2664  java.lang.StringBuilder
 261:            37           2664  org.hibernate.mapping.ManyToOne
 262:           166           2656  com.sun.proxy.$Proxy18
 263:           110           2640  java.io.FilePermissionCollection
 264:            41           2624  java.text.SimpleDateFormat
 265:           163           2608  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet
 266:            54           2592  sun.net.www.MimeEntry
 267:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 268:           106           2544  org.hibernate.util.FilterHelper
 269:            78           2496  java.io.FileInputStream
 270:           104           2496  java.io.FileDescriptor
 271:            71           2472  [Ljavax.management.MBeanOperationInfo;
 272:            77           2464  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 273:            17           2448  org.hibernate.hql.ast.HqlSqlWalker
 274:           151           2416  java.util.jar.Attributes
 275:            60           2400  java.util.concurrent.ConcurrentHashMap$ValueIterator
 276:            42           2352  org.hibernate.hql.ast.tree.SqlNode
 277:           146           2336  java.util.concurrent.atomic.AtomicInteger
 278:            58           2320  java.io.ObjectStreamField
 279:            48           2304  sun.util.locale.LocaleObjectCache$CacheEntry
 280:            96           2304  sun.reflect.generics.tree.Wildcard
 281:            41           2296  java.util.ResourceBundle$CacheKey
 282:            11           2288  <klassKlass>
 283:            56           2240  org.hibernate.hql.ast.HqlToken
 284:            56           2240  org.hibernate.loader.GeneratedCollectionAliases
 285:           136           2176  org.apache.juli.logging.DirectJDKLog
 286:            30           2160  org.hibernate.mapping.Table
 287:             3           2144  [Lorg.apache.commons.lang.xwork.IntHashMap$Entry;
 288:           133           2128  java.lang.Character
 289:            19           2128  java.net.SocksSocketImpl
 290:            52           2080  org.hibernate.tuple.IdentifierProperty
 291:            52           2080  org.hibernate.proxy.pojo.javassist.JavassistProxyFactory
 292:            52           2080  java.util.HashMap$KeyIterator
 293:           104           2080  [Lorg.apache.catalina.startup.HostConfig$DeployedApplication;
 294:             2           2080  [Lcom.sun.org.apache.xerces.internal.impl.dtd.models.ContentModelValidator;
 295:            37           2072  ognl.ASTProperty
 296:            64           2048  sun.security.util.DerInputBuffer
 297:            64           2048  com.mysql.jdbc.VersionedStringProperty
 298:            64           2048  sun.security.util.DerValue
 299:            84           2016  org.springframework.beans.factory.config.ConstructorArgumentValues
 300:            84           2016  org.hibernate.dialect.function.StandardSQLFunction
 301:            63           2016  org.dom4j.QName
 302:            84           2016  org.springframework.beans.MutablePropertyValues
 303:            84           2016  org.apache.tomcat.util.buf.StringCache$ByteEntry
 304:            62           1984  javax.el.BeanELResolver$BeanProperty
 305:            80           1920  sun.reflect.generics.scope.ClassScope
 306:            40           1920  org.hibernate.tuple.VersionProperty
 307:            17           1904  org.hibernate.loader.hql.QueryLoader
 308:            23           1840  org.hibernate.loader.collection.OneToManyLoader
 309:            25           1800  org.jbpm.pvm.internal.wire.descriptor.ObjectDescriptor
 310:            74           1776  org.apache.naming.resources.FileDirContext$FileResource
 311:            37           1776  ognl.ASTConst
 312:            74           1776  org.springframework.beans.CachedIntrospectionResults
 313:           110           1760  org.apache.jasper.compiler.ELNode$ELText
 314:             5           1760  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl
 315:            55           1760  com.opensymphony.xwork2.config.impl.LocatableFactory
 316:            36           1728  sun.misc.URLClassPath$JarLoader
 317:            36           1728  java.util.zip.Inflater
 318:            43           1720  java.text.DigitList
 319:           107           1712  sun.reflect.generics.tree.TypeVariableSignature
 320:            71           1704  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 321:            30           1680  sun.util.calendar.ZoneInfo
 322:            21           1680  org.apache.jasper.compiler.Node$ELExpression
 323:            52           1664  org.hibernate.tuple.PojoInstantiator
 324:            52           1664  javassist.util.proxy.ProxyFactory$CacheKey
 325:            52           1664  org.hibernate.persister.entity.BasicEntityPropertyMapping
 326:            52           1664  java.util.LinkedHashMap$KeyIterator
 327:           102           1632  java.lang.Boolean
 328:            34           1632  org.apache.commons.collections.map.AbstractReferenceMap$SoftRef
 329:           102           1632  org.slf4j.impl.JDK14LoggerAdapter
 330:            34           1632  freemarker.core.StringLiteral
 331:            17           1632  org.hibernate.hql.ast.tree.FromClause
 332:            29           1624  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$ResourceElement
 333:            66           1584  com.sun.jmx.mbeanserver.NamedObject
 334:            28           1568  com.opensymphony.xwork2.config.entities.ActionConfig
 335:            98           1568  com.opensymphony.xwork2.util.logging.commons.CommonsLogger
 336:            83           1552  [Ljava.lang.reflect.TypeVariable;
 337:            64           1536  org.apache.jasper.compiler.JspUtil$ValidAttribute
 338:            32           1536  java.util.TreeMap
